algorithm,log_size,entry_count,tamper_position,build_time_ms,verify_time_ms,throughput_eps,detection_accuracy_pct,memory_peak_kb,hash_time_us,merkle_proof_length,tamper_node_avg,tamper_node_min,tamper_node_max,tamper_range_defined_min,tamper_range_defined_max,repeat
SHA256,small,10000,first,2142.0725,317.8447,4672.29,100.0,2373.7559,4.970438,14,0,0,0,0,0,5
SHA256,small,10000,middle,2099.4554,338.1766,4787.75,100.0,2373.7559,6.178972,14,5027,4852,5144,4800,5200,5
SHA256,small,10000,last,2065.3878,340.3259,4845.09,100.0,2373.7559,5.088222,14,9867,9826,9961,9799,9999,5
BLAKE3,small,10000,first,2111.3629,293.1929,4737.58,100.0,2375.6725,3.825082,14,0,0,0,0,0,5
BLAKE3,small,10000,middle,2143.8209,302.4783,4679.79,100.0,2375.6631,3.586022,14,5030,4921,5183,4800,5200,5
BLAKE3,small,10000,last,2277.5746,295.032,4421.79,100.0,2375.6631,3.643914,14,9903,9805,9990,9799,9999,5
SHA256,medium,50000,first,10567.1639,1587.4744,4737.12,100.0,11892.1646,5.33038,16,0,0,0,0,0,5
SHA256,medium,50000,middle,10476.915,1532.7512,4774.18,100.0,11892.0225,5.124128,16,25199,24442,25928,24000,26000,5
SHA256,medium,50000,last,11618.7582,1684.8795,4382.12,100.0,11892.0225,5.25417,16,49335,49032,49703,48999,49999,5
BLAKE3,medium,50000,first,11019.7194,1598.5939,4543.77,100.0,11893.9391,3.66995,16,0,0,0,0,0,5
BLAKE3,medium,50000,middle,11755.4348,1673.9425,4280.96,100.0,11893.9297,3.885698,16,25183,24711,25539,24000,26000,5
BLAKE3,medium,50000,last,14111.797,1572.7414,3620.28,100.0,11893.9297,4.123436,16,49459,49060,49735,48999,49999,5
SHA256,large,250000,first,55667.3043,8181.9297,4504.78,100.0,59258.2031,5.672188,18,0,0,0,0,0,5
SHA256,large,250000,middle,53965.1802,7985.4137,4635.05,100.0,59258.0391,5.386134,18,125703,123252,128996,120000,130000,5
SHA256,large,250000,last,53027.4771,7893.2964,4715.46,100.0,59258.0391,5.332636,18,246460,245142,249300,244999,249999,5
BLAKE3,large,250000,first,60642.9312,8131.2316,4156.07,100.0,59259.9557,3.90669,18,0,0,0,0,0,5
BLAKE3,large,250000,middle,55459.9089,7417.0972,4511.01,100.0,59259.9463,6.038936,18,125945,123568,127559,120000,130000,5
BLAKE3,large,250000,last,55401.5487,7380.6334,4514.69,100.0,59259.9463,6.9488,18,248391,247441,249607,244999,249999,5
