algorithm,log_size,tamper_position,avg_verify_ms,avg_accuracy_pct,tamper_node_avg,tamper_node_min,tamper_node_max,tamper_range_min,tamper_range_max,entry_count
BLAKE3,large,first,8131.23,100.0,0.0,0,0,0,0,250000
BLAKE3,large,last,7380.63,100.0,248391.0,247441,249607,244999,249999,250000
BLAKE3,large,middle,7417.1,100.0,125945.0,123568,127559,120000,130000,250000
BLAKE3,medium,first,1598.59,100.0,0.0,0,0,0,0,50000
BLAKE3,medium,last,1572.74,100.0,49459.0,49060,49735,48999,49999,50000
BLAKE3,medium,middle,1673.94,100.0,25183.0,24711,25539,24000,26000,50000
BLAKE3,small,first,293.19,100.0,0.0,0,0,0,0,10000
BLAKE3,small,last,295.03,100.0,9903.0,9805,9990,9799,9999,10000
BLAKE3,small,middle,302.48,100.0,5030.0,4921,5183,4800,5200,10000
SHA256,large,first,8181.93,100.0,0.0,0,0,0,0,250000
SHA256,large,last,7893.3,100.0,246460.0,245142,249300,244999,249999,250000
SHA256,large,middle,7985.41,100.0,125703.0,123252,128996,120000,130000,250000
SHA256,medium,first,1587.47,100.0,0.0,0,0,0,0,50000
SHA256,medium,last,1684.88,100.0,49335.0,49032,49703,48999,49999,50000
SHA256,medium,middle,1532.75,100.0,25199.0,24442,25928,24000,26000,50000
SHA256,small,first,317.84,100.0,0.0,0,0,0,0,10000
SHA256,small,last,340.33,100.0,9867.0,9826,9961,9799,9999,10000
SHA256,small,middle,338.18,100.0,5027.0,4852,5144,4800,5200,10000
